type,number,value
Group,0,2047
Group,1,2047
Group,2,2047
Offset,0,8167
Gain,0,16383
Offset,1,8192
Gain,1,16383
Offset,2,8192
Gain,2,16383
Offset,3,8192
Gain,3,16383
Offset,4,8192
Gain,4,16383
Offset,5,8192
Gain,5,16383
Offset,6,8192
Gain,6,16383
Offset,7,8192
Gain,7,16383
Offset,8,8192
Gain,8,16383
Offset,9,8192
Gain,9,16383
Offset,10,8192
Gain,10,16383
Offset,11,8192
Gain,11,16383
Offset,12,8192
Gain,12,16383
Offset,13,8192
Gain,13,16383
Offset,14,8192
Gain,14,16383
Offset,15,8192
Gain,15,16383
Offset,16,8192
Gain,16,16383
Offset,17,8192
Gain,17,16383
Offset,18,8192
Gain,18,16383
Offset,19,8192
Gain,19,16383
Offset,20,8192
Gain,20,16383
Offset,21,8192
Gain,21,16383
Offset,22,8192
Gain,22,16383
Offset,23,8192
Gain,23,16383
Offset,24,8192
Gain,24,16383
Offset,25,8192
Gain,25,16383
Offset,26,8192
Gain,26,16383
Offset,27,8192
Gain,27,16383
Offset,28,8192
Gain,28,16383
Offset,29,8192
Gain,29,16383
Offset,30,8192
Gain,30,16383
Offset,31,8192
Gain,31,16383
Offset,32,8192
Gain,32,16383
Offset,33,8192
Gain,33,16383
Offset,34,8192
Gain,34,16383
Offset,35,8192
Gain,35,16383
Offset,36,8192
Gain,36,16383
Offset,37,8192
Gain,37,16383
Offset,38,8192
Gain,38,16383
Offset,39,8192
Gain,39,16383
